EstablecimientoCodigo;EstablecimientoGlosa;RegionCodigo;RegionGlosa;ComunaCodigo;ComunaGlosa;ServicioSaludCodigo;ServicioSaludGlosa;TipoEstablecimiento;DependenciaAdministrativa;NivelAtencion;TipoUrgencia;Latitud;Longitud;NivelComplejidad;Anio;SemanaEstadistica;OrdenCausa;Causa;NumTotal;NumMenor1Anio;Num1a4Anios;Num5a14Anios;Num15a64Anios;Num65oMas;FechaAtencionTexto;SexoPaciente;PrioridadTriage;CostoAtencionCLP
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;1;3;Bronquitis/Bronquiolitis aguda;105;31;31;21;18;4;02-01-2023;M;C3;113036.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;1;4;Crisis asmática;189;5;19;44;108;13;02-01-2023;F;C5;102865.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;;Alta Complejidad;2023;1;5;Insuficiencia respiratoria aguda;165;5;14;8;53;85;02-01-2023;F;C2;141680.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;1;6;COVID-19 sospecha/confirmada;108;9;14;25;44;16;02-01-2023;M;C3;90506.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;1;Influenza y neumonia;106;9;8;16;38;35;09.01.23;M;C3;28900.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;2;Infeccion respiratoria aguda alta;131;13;16;29;55;18;09.01.23;M;C2;94206.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;3;Bronquitis/Bronquiolitis aguda;100;27;26;19;21;7;09-01-2023;F;C1;116535.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;4;Crisis asmática;67;9;7;15;27;9;09-01-2023;M;C4;62316.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;5;Insuficiencia respiratoria aguda;201;11;11;11;69;99;09.01.23;F;C2;122928.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;2;6;COVID-19 sospecha/confirmada;151;8;19;39;63;22;09-01-2023;M;C4;89216.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;1;Influenza y neumonia;92;6;7;12;44;23;09-01-2023;F;C1;103015.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;2;Infeccion respiratoria aguda alta;164;13;22;37;66;26;09-01-2023;F;C4;85596.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;3;Bronquitis/Bronquiolitis aguda;205;63;50;35;51;6;09-01-2023;F;C3;94450.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;4;Crisis asmática;175;7;20;46;90;12;09.01.23;F;C1;99041.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;5;Insuficiencia respiratoria aguda;118;1;4;9;42;62;09-01-2023;F;C3;140289.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;2;6;COVID-19 sospecha/confirmada;146;8;19;23;79;17;09-01-2023;M;C4;74375.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;2;1;Influenza y neumonia;193;11;15;38;79;50;09-01-2023;F;C5;113142.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;2;2;Infeccion respiratoria aguda alta;148;8;17;31;62;30;09-01-2023;F;C4;94179.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;AMBULATORIA (SAR);-334.429;-705.477;Baja Complejidad;2023;2;3;Bronquitis/Bronquiolitis aguda;83;18;29;14;19;3;09-01-2023;M;C4;99270.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;2;4;Crisis asmática;147;9;19;38;64;17;09-01-2023;M;C3;136712.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;2;5;Insuficiencia respiratoria aguda;92;2;3;8;32;47;09-01-2023;M;C5;65136.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;;2023;2;6;COVID-19 sospecha/confirmada;138;6;15;39;62;16;09-01-2023;F;C2;
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;2;1;Influenza y neumonia;132;10;12;20;56;34;09.01.23;F;C4;57209.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;;2023;2;2;Infeccion respiratoria aguda alta;129;12;16;21;66;14;09.01.23;F;C5;131734.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;2;3;Bronquitis/Bronquiolitis aguda;44;18;10;6;8;2;09.01.23;M;C4;46300.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;2;4;Crisis asmática;132;7;19;40;55;11;09-01-2023;M;C4;80448.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;2;5;Insuficiencia respiratoria aguda;79;2;4;4;26;43;09-01-2023;F;C5;80134.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;2;6;COVID-19 sospecha/confirmada;192;9;26;43;83;31;09-01-2023;F;C3;86782.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;2;1;Influenza y neumonia;185;18;16;33;86;32;09-01-2023;F;C3;80184.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;2;2;Infeccion respiratoria aguda alta;49;968;4;9;24;8;09-01-2023;F;C2;137169.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;2;3;Bronquitis/Bronquiolitis aguda;173;43;45;28;48;9;09.01.23;F;C1;150603.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;URGENCIA HOSPITALARIA ESPECIALIZADA;-387.397;-725.984;Alta Complejidad;2023;2;4;Crisis asmática;204;8;32;61;78;25;09-01-2023;M;C4;82314.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;2;5;Insuficiencia respiratoria aguda;214;5;5;11;80;102;09-01-2023;F;C5;34329.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;2;6;COVID-19 sospecha/confirmada;60;4;5;12;26;13;09-01-2023;F;C1;145340.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;1;Influenza y neumonia;46;4;7;9;18;8;16-01-2023;M;C4;95034.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;2;Infeccion respiratoria aguda alta;132;16;17;23;62;14;16-01-2023;F;C2;94994.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;3;Bronquitis/Bronquiolitis aguda;197;50;43;43;49;12;16.01.23;M;C5;31971.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;4;Crisis asmática;56;3;5;15;27;6;16-01-2023;M;C3;140993.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;5;Insuficiencia respiratoria aguda;92;4;8;6;36;38;16-01-2023;M;C5;139787.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;3;6;COVID-19 sospecha/confirmada;90;3;8;16;49;14;16-01-2023;F;C4;141432.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;1;Influenza y neumonia;62;8;2;7;23;22;16-01-2023;F;C2;91887.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;2;Infeccion respiratoria aguda alta;185;12;24;41;82;26;16-01-2023;F;C4;126051.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;3;Bronquitis/Bronquiolitis aguda;135;39;37;29;22;8;16-01-2023;M;C3;71760.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;4;Crisis asmática;146;7;18;58;48;15;16-01-2023;M;C4;105553.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;5;Insuficiencia respiratoria aguda;176;7;7;20;59;83;16-01-2023;F;C2;60274.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;3;6;COVID-19 sospecha/confirmada;171;15;21;34;81;20;16.01.23;M;C1;80465.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;1;Influenza y neumonia;109;20;18;12;35;24;16-01-2023;M;C2;92329.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;2;Infeccion respiratoria aguda alta;119;6;14;20;53;26;;M;C3;88014.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;3;Bronquitis/Bronquiolitis aguda;51;16;11;7;13;4;16-01-2023;M;C1;136833.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;4;Crisis asmática;143;10;15;35;67;16;16.01.23;M;C1;77604.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;5;Insuficiencia respiratoria aguda;92;3;5;10;30;1048;16-01-2023;F;C3;65158.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;3;6;COVID-19 sospecha/confirmada;100;7;11;26;44;12;16-01-2023;M;C4;80790.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;1;Influenza y neumonia;154;12;23;20;62;37;16-01-2023;M;C3;146390.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;2;Infeccion respiratoria aguda alta;149;11;17;31;69;21;16.01.23;M;C4;51803.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;3;Bronquitis/Bronquiolitis aguda;55;16;17;9;8;5;16.01.23;M;C2;82362.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;4;Crisis asmática;88;3;6;23;48;8;16-01-2023;M;C4;101311.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;5;Insuficiencia respiratoria aguda;95;3;3;10;33;46;16-01-2023;M;C3;93654.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;3;6;COVID-19 sospecha/confirmada;124;5;15;28;57;19;16-01-2023;F;C4;118967.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;3;1;Influenza y neumonia;218;20;18;31;91;58;16-01-2023;M;C5;73363.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;3;2;Infeccion respiratoria aguda alta;174;7;17;34;83;33;16-01-2023;F;C2;93349.0
